geoid,name,B25024001,"B25024001, Error",B25024002,"B25024002, Error",B25024003,"B25024003, Error",B25024004,"B25024004, Error",B25024005,"B25024005, Error",B25024006,"B25024006, Error",B25024007,"B25024007, Error",B25024008,"B25024008, Error",B25024009,"B25024009, Error",B25024010,"B25024010, Error",B25024011,"B25024011, Error"
05000US21077,"Gallatin County, KY",3763,30,2267,182,16,17,19,19,31,23,253,104,81,47,43,27,20,19,1025,165,8,14
05000US21079,"Garrard County, KY",7272,25,5961,230,69,50,168,80,150,84,76,53,19,25,0,20,0,20,829,188,0,20
05000US21081,"Grant County, KY",10182,49,6459,429,212,140,311,173,330,155,441,152,150,76,85,82,33,36,2161,389,0,24
05000US21083,"Graves County, KY",16437,55,13219,318,109,74,345,135,410,165,117,75,155,108,115,72,79,53,1796,277,92,76
05000US21085,"Grayson County, KY",13336,28,9798,344,132,77,274,157,337,150,206,103,78,51,146,96,0,24,2329,294,36,36
05000US21087,"Green County, KY",5292,17,4070,201,39,32,40,41,25,20,100,63,54,47,20,26,0,20,944,200,0,20
05000US21089,"Greenup County, KY",16247,27,13104,357,72,50,148,78,249,92,342,146,86,51,157,94,19,22,2062,344,8,13
05000US21091,"Hancock County, KY",3911,26,2673,170,17,26,64,37,55,42,193,68,19,21,8,14,12,19,867,159,3,7
05000US21093,"Hardin County, KY",47370,90,31005,817,2268,370,1433,335,3014,452,2787,494,1719,385,306,132,690,262,4129,585,19,22
05000US21095,"Harlan County, KY",13012,32,8632,346,172,88,264,108,406,154,614,133,163,86,40,40,75,52,2629,359,17,25
05000US21097,"Harrison County, KY",8136,22,6049,313,106,74,383,167,235,125,243,132,97,74,37,47,0,20,986,193,0,20
05000US21099,"Hart County, KY",8888,36,6411,282,65,65,201,93,221,108,169,80,62,45,58,40,37,54,1630,258,34,40
05000US21101,"Henderson County, KY",20109,32,13488,425,313,142,954,228,945,226,1013,267,526,174,356,158,549,191,1965,408,0,27
05000US21103,"Henry County, KY",6678,28,5446,193,45,30,137,87,158,51,112,51,26,23,108,50,2,3,633,147,11,16
05000US21105,"Hickman County, KY",2160,14,1671,128,0,13,25,27,14,16,25,26,0,13,1,2,3,5,421,117,0,13
05000US21107,"Hopkins County, KY",20965,68,15874,433,109,71,613,181,596,207,627,184,261,161,36,42,35,42,2705,357,109,87
05000US21109,"Jackson County, KY",5999,25,4108,321,0,20,115,96,31,30,118,72,28,39,74,69,11,12,1469,284,45,40
05000US21111,"Jefferson County, KY",357923,218,229279,2331,14672,770,8257,858,27677,1869,27137,1315,19441,1015,11003,825,16106,1059,4263,624,88,63
05000US21113,"Jessamine County, KY",20936,59,15492,418,1715,329,940,237,862,250,537,167,361,138,76,56,126,95,795,170,32,26
